year,month,0,1,2,3,4,5,6,7,8,9
1997,7,0,0,0,0,0,0,0,31,0,0
1997,8,0,0,0,0,2,0,0,29,0,0
1997,9,8,0,0,0,12,2,0,8,0,0
1997,10,5,0,4,0,7,7,8,0,0,0
1997,11,1,11,2,0,0,6,10,0,0,0
1997,12,0,12,6,4,0,0,0,0,0,9
1998,1,0,4,6,3,0,0,0,0,3,15
1998,2,0,7,1,8,0,0,0,0,5,7
1998,3,0,9,8,12,0,0,0,0,0,2
1998,4,1,1,0,0,0,9,16,0,3,0
1998,5,22,0,0,0,1,5,3,0,0,0
1998,6,2,0,0,0,13,0,0,15,0,0
1998,7,0,0,0,0,1,0,0,30,0,0
1998,8,0,0,0,0,0,0,0,31,0,0
1998,9,5,0,0,0,14,0,0,11,0,0
1998,10,8,0,0,0,4,13,5,0,0,1
1998,11,0,8,6,1,0,1,12,0,0,2
1998,12,0,9,2,6,0,0,2,0,1,11
1999,1,0,1,3,7,0,0,0,0,3,17
1999,2,0,4,1,15,0,0,0,0,5,3
1999,3,0,8,2,5,0,0,5,0,7,4
1999,4,4,5,0,0,0,10,11,0,0,0
1999,5,14,0,0,0,9,6,2,0,0,0
1999,6,0,0,0,0,10,0,0,20,0,0
1999,7,0,0,0,0,0,0,0,31,0,0
1999,8,0,0,0,0,1,0,0,30,0,0
1999,9,5,0,0,0,13,0,0,12,0,0
1999,10,9,0,0,0,9,13,0,0,0,0
1999,11,5,4,4,1,0,8,4,0,0,4
1999,12,0,1,0,13,0,0,0,0,7,10
2000,1,0,3,13,7,0,0,0,0,0,8
2000,2,0,1,0,17,0,0,0,0,1,10
2000,3,0,1,6,17,0,0,3,0,3,1
2000,4,3,0,1,0,0,7,18,0,1,0
2000,5,16,0,0,0,8,7,0,0,0,0
2000,6,0,0,0,0,21,0,0,9,0,0
2000,7,0,0,0,0,0,0,0,31,0,0
2000,8,0,0,0,0,0,0,0,31,0,0
2000,9,6,0,0,0,21,0,0,3,0,0
2000,10,0,0,0,0,6,24,1,0,0,0
2000,11,0,1,0,0,0,4,20,0,0,5
2000,12,0,3,2,0,0,6,0,0,10,10
